"show_id","production_country_type_id"
1399,165
1399,30
71446,10
66732,30
1402,30
63174,30
69050,30
93405,65
1396,30
71712,30
85271,30
60735,30
1418,30
84958,30
1416,30
82856,30
456,30
85552,13
85552,30
75006,60
75006,30
60574,165
76669,10
76479,30
60625,30
18165,30
88396,30
31910,8
48866,30
119051,30
1668,30
1622,30
81356,165
44217,60
44217,130
70523,89
1408,30
77169,30
85937,8
1412,30
1429,8
87108,165
87108,30
1413,30
46260,8
71912,158
71912,30
12637,170
63247,30
82883,30
19885,165
19885,30
62104,8
62715,8
62286,30
65930,8
37680,30
70785,60
42009,165
1100,30
60059,30
65334,178
65334,8
65334,65
105214,170
62560,30
12971,8
100088,30
37854,8
61889,30
62688,30
2004,30
1434,30
66788,30
2190,30
87739,30
4604,30
90462,30
95557,60
95557,30
60797,30
91363,74
91363,60
91363,178
91363,30
1405,30
4607,30
13916,8
246,65
246,30
2316,30
94997,30
4057,30
2734,30
5920,30
46331,30
94605,178
94605,30
99966,65
79242,60
79242,30
1403,30
63926,8
80213,30
71886,30
60708,30
16286,99
46896,30
4613,90
4613,165
4613,30
104877,148
1911,30
88329,30
80020,8
48891,30
615,30
2691,30
46952,30
86831,30
19614,30
78191,30
95479,8
12609,8
46648,30
74577,165
44953,170
44953,30
44953,99
387,30
4087,30
67335,99
57243,60
57243,165
60866,30
1409,30
67915,65
40075,30
63351,30
75450,30
15260,30
69478,60
69478,30
31917,30
56570,165
56570,30
92749,30
1421,30
110492,30
62710,30
70881,8
1398,30
60622,30
34307,30
102903,170
113988,30
115036,30
1424,30
84773,30
67178,30
58841,30
62127,30
95594,30
75219,30
80752,165
80752,30
1705,30
62643,30
71728,30
40008,30
67744,30
61222,30
61374,8
1981,30
38472,30
63639,60
63639,30
1892,30
4614,30
95057,30
91239,30
1639,30
44006,30
1407,13
1407,30
154521,30
69740,30
45871,10
72844,30
39272,30
52814,165
52814,30
1438,30
90239,170
105,30
1433,30
96815,30
35610,8
89641,65
33880,8
33880,30
33880,65
1437,30
96677,178
92783,30
71914,30
65494,165
65494,165
65494,30
65494,30
31132,30
12697,8
1920,30
73586,30
4194,30
31911,8
93741,30
2038,30
90802,30
63401,30
47,170
71915,165
71915,30
76121,8
77606,30
12926,170
1400,30
90260,30
110316,8
68421,30
61550,30
45950,8
1419,30
47640,170
47640,30
62046,30
30984,8
16420,65
45782,8
62126,30
100883,30
4556,30
67198,30
80743,30
97180,170
97180,30
60572,8
42035,10
85949,30
32798,30
31251,30
95,30
64432,30
114868,8
4686,30
63333,165
1411,30
97186,30
46298,8
71411,30
1415,30
120089,8
71740,170
18347,30
46639,30
46786,30
112888,65
79744,30
68507,165
68507,30
61056,30
89247,30
74428,170
62264,30
890,8
72305,8
61664,165
61664,30
61664,89
61664,73
61664,65
61664,170
61664,63
61664,51
75758,30
117581,30
2098,30
86430,30
80240,99
30991,8
79699,99
79699,170
92685,30
60573,30
92830,30
39340,30
58474,30
60743,30
4629,60
4629,60
72637,145
92396,99
71789,30
76773,30
153312,30
69629,30
100834,10
85723,166
85723,165
85723,30
100049,8
5371,30
1973,30
90461,30
8358,30
66573,30
79696,30
67136,30
97175,139
97175,165
97175,30
87784,30
66292,30
64464,30
655,30
94667,156
84661,30
97546,30
89456,178
89456,30
52,30
8592,30
37606,165
37606,165
